Date,GOLD
2021-12-31,4297.62
2021-12-30,4253.66
2021-12-29,4220.34
2021-12-28,4205.24
2021-12-25,4202.69
2021-12-24,4258.43
2021-12-23,4246.37
2021-12-22,4262.24
2021-12-21,4293.32
2021-12-18,4284.8
2021-12-17,4222.51
2021-12-16,4201.2
2021-12-15,4210.1
2021-12-14,4211.67
2021-12-11,4193.17
2021-12-10,4220.04
2021-12-09,4249.31
2021-12-08,4242.07
2021-12-07,4218.93
2021-12-04,4204.75
2021-12-03,4228.3
2021-12-02,4249.61
2021-12-01,4328.35
2021-11-30,4327.24
2021-11-27,4398.15
2021-11-26,4294.8
2021-11-25,4282.04
2021-11-24,4324.17
2021-11-23,4347.74
2021-11-20,4354.45
2021-11-19,4342.8
2021-11-18,4351.2
2021-11-17,4367.41
2021-11-16,4330.74
2021-11-13,4271.28
2021-11-12,4255.85
2021-11-11,4147.92
2021-11-10,4181.37
2021-11-09,4173.18
2021-11-04,4095.36
2021-11-03,4117.01
2021-11-02,4083.12
2021-10-30,4072.7
2021-10-29,4077.04
2021-10-28,4003.77
2021-10-27,4029.35
2021-10-26,4056.97
2021-10-23,4083.35
2021-10-22,4074.76
2021-10-21,4062.16
2021-10-20,4059.97
2021-10-19,4032.86
2021-10-16,4080.1
2021-10-15,4147.69
2021-10-14,4083.3
2021-10-13,4065.28
2021-10-12,4036.46
2021-10-09,4067.69
2021-10-08,4086.92
2021-10-07,4078.88
2021-10-06,4101.65
2021-10-05,4107.31
2021-10-02,4115.97
2021-10-01,4043.86
2021-09-30,4074.26
2021-09-29,4055.46
2021-09-28,4086.21
2021-09-25,4119.8
2021-09-24,4140.97
2021-09-23,4159.94
2021-09-22,4157.6
2021-09-21,4142.76
2021-09-18,4120.07
2021-09-17,4148.59
2021-09-16,4219.32
2021-09-15,4181.7
2021-09-14,4200.92
2021-09-11,4210.48
2021-09-10,4221.14
2021-09-09,4245.35
2021-09-08,4260.95
2021-09-07,4277.87
2021-09-04,4244.41
2021-09-03,4251.36
2021-09-02,4268.38
2021-09-01,4274.39
2021-08-31,4254.3
2021-08-28,4271.0
2021-08-27,4243.41
2021-08-26,4255.03
2021-08-25,4286.39
2021-08-24,4255.14
2021-08-21,4262.78
2021-08-20,4263.04
2021-08-19,4223.31
2021-08-18,4238.06
2021-08-17,4190.07
2021-08-14,4151.89
2021-08-13,4152.17
2021-08-12,4123.87
2021-08-11,4092.41
2021-08-10,4115.74
2021-08-07,4230.86
2021-08-06,4260.67
2021-08-05,4241.34
2021-08-04,4239.95
2021-08-03,4243.23
2021-07-31,4299.07
2021-07-30,4281.39
2021-07-29,4258.18
2021-07-28,4266.86
2021-07-27,4307.56
2021-07-24,4276.19
2021-07-23,4258.64
2021-07-22,4325.24
2021-07-21,4347.53
2021-07-20,4310.29
2021-07-17,4344.52
2021-07-16,4371.55
2021-07-15,4320.73
2021-07-14,4304.58
2021-07-13,4326.22
2021-07-10,4317.67
2021-07-09,4376.42
2021-07-08,4295.95
2021-07-07,4258.37
2021-07-06,4223.75
2021-07-03,4221.29
2021-07-02,4158.37
2021-07-01,4109.93
2021-06-30,4117.54
2021-06-29,4117.26
2021-06-26,4137.67
2021-06-25,4139.56
2021-06-24,4165.39
2021-06-23,4185.05
2021-06-22,4194.8
2021-06-19,4161.79
2021-06-18,4211.68
2021-06-17,4303.16
2021-06-16,4304.46
2021-06-12,4360.1
2021-06-11,4368.5
2021-06-10,4381.15
2021-06-09,4430.04
2021-06-08,4412.9
2021-06-05,4404.19
2021-06-04,4456.92
2021-06-03,4480.03
2021-06-02,4492.16
2021-06-01,4477.3
2021-05-29,4477.3
2021-05-28,4475.59
2021-05-27,4498.4
2021-05-26,4442.93
2021-05-25,4436.75
2021-05-22,4441.88
2021-05-21,4423.47
2021-05-20,4405.96
2021-05-19,4424.77
2021-05-18,4389.05
2021-05-15,4361.99
2021-05-14,4337.3
2021-05-13,4364.77
2021-05-12,4380.12
2021-05-08,4339.29
2021-05-07,4299.44
2021-05-06,4279.51
2021-05-05,4318.79
2021-05-01,4256.31
2021-04-30,4243.98
2021-04-29,4250.44
2021-04-28,4291.88
2021-04-27,4278.0
2021-04-24,4310.03
2021-04-23,4387.37
2021-04-22,4398.86
2021-04-21,4314.8
2021-04-20,4384.2
2021-04-17,4290.88
2021-04-16,4326.28
2021-04-15,4241.89
2021-04-14,4292.18
2021-04-13,4339.97
2021-04-10,4336.55
2021-04-09,4322.38
2021-04-08,4340.8
2021-04-07,4250.9
2021-04-06,4251.11
2021-04-03,4221.6
2021-04-02,4181.97
2021-04-01,4098.42
2021-03-31,4129.57
2021-03-30,4202.9
2021-03-27,4208.46
2021-03-26,4234.9
2021-03-25,4245.63
2021-03-24,4213.91
2021-03-23,4157.94
2021-03-20,4140.83
2021-03-19,4106.63
2021-03-18,4082.32
2021-03-17,4063.59
2021-03-16,4068.26
2021-03-13,4026.77
2021-03-12,4103.11
2021-03-11,4074.08
2021-03-10,4065.79
2021-03-06,4058.47
2021-03-05,4056.73
2021-03-04,4082.19
2021-03-03,4144.35
2021-03-02,4158.78
2021-02-27,4224.26
2021-02-26,4233.41
2021-02-25,4285.38
2021-02-21,4248.68
2021-02-20,4218.41
2021-02-19,4228.69
2021-02-18,4242.54
2021-02-17,4296.61
2021-02-16,4283.63
2021-02-13,4321.67
2021-02-12,4367.35
2021-02-11,4377.11
2021-02-10,4400.3
2021-02-09,4325.35
2021-02-06,4367.4
2021-02-05,4410.67
2021-02-04,4487.73
2021-02-03,4507.67
2021-02-02,4509.9
2021-01-30,4542.04
2021-01-29,4506.07
2021-01-28,4454.61
2021-01-27,4506.49
2021-01-26,4465.88
2021-01-23,4431.54
2021-01-22,4405.56
2021-01-21,4373.92
2021-01-20,4368.68
2021-01-19,4361.69
2021-01-16,4383.49
2021-01-15,4366.17
2021-01-14,4378.94
2021-01-13,4445.57
2021-01-12,4426.84
2021-01-01,4491.66
2020-12-31,4459.48
2020-12-30,4437.61
2020-12-29,4438.08
2020-12-26,4436.55
2020-12-25,4505.61
2020-12-24,4529.59
2020-12-23,4538.16
2020-12-22,4487.62
2020-12-19,4428.96
2020-12-18,4392.15
2020-12-17,4393.73
2020-12-16,4354.98
2020-12-15,4267.87
2020-12-12,4310.63
2020-12-11,4346.88
2020-12-10,4383.23
2020-12-09,4415.66
2020-12-08,4375.28
2020-12-05,4390.93
2020-12-04,4436.04
2020-12-03,4456.05
2020-12-02,4407.43
2020-12-01,4341.07
2020-11-28,4409.74
2020-11-27,4402.52
2020-11-26,4388.45
2020-11-25,4431.61
2020-11-24,4539.73
2020-11-21,4562.65
2020-11-20,4554.16
2020-11-19,4582.44
2020-11-18,4622.23
2020-11-17,4680.45
2020-11-14,4669.38
2020-11-13,4631.33
2020-11-12,4596.93
2020-11-11,4605.21
2020-11-10,4842.82
2020-11-07,4834.1
2020-11-06,4834.96
2020-11-04,4886.56
2020-11-03,4887.7
2020-10-31,4784.4
2020-10-30,4759.17
2020-10-29,4729.52
2020-10-28,4667.69
2020-10-27,4673.64
2020-10-24,4697.13
2020-10-23,4750.35
2020-10-22,4752.55
2020-10-21,4767.05
2020-10-20,4785.15
2020-10-17,4783.12
2020-10-16,4740.64
2020-10-15,4711.68
2020-10-14,4772.77
2020-10-13,4754.14
2020-10-10,4736.09
2020-10-09,4737.92
2020-10-08,4740.23
2020-10-07,4827.56
2020-10-06,4771.68
2020-10-03,4786.39
2020-10-02,4709.54
2020-10-01,4770.62
2020-09-30,4822.55
2020-09-29,4681.68
2020-09-26,4618.65
2020-09-25,4592.32
2020-09-24,4635.01
2020-09-23,4666.73
2020-09-22,4720.43
2020-09-19,4715.5
2020-09-18,4680.61
2020-09-17,4733.17
2020-09-16,4746.61
2020-09-15,4665.67
2020-09-12,4681.88
2020-09-11,4722.48
2020-09-10,4716.38
2020-09-09,4690.71
2020-09-08,4686.6
2020-09-05,4683.5
2020-09-04,4692.8
2020-09-03,4675.61
2020-09-02,4703.11
2020-09-01,4644.5
2020-08-29,4693.4
2020-08-28,4689.71
2020-08-27,4659.27
2020-08-26,4612.67
2020-08-25,4659.72
2020-08-22,4604.75
2020-08-21,4572.94
2020-08-20,4693.26
2020-08-19,4733.95
2020-08-18,4574.27
2020-08-15,4586.18
2020-08-14,4569.73
2020-08-13,4548.31
2020-08-12,4695.8
2020-08-11,4815.71
2020-08-08,4880.61
2020-08-07,4811.98
2020-08-06,4793.21
2020-08-05,4653.01
2020-08-04,4704.01
2020-08-01,4661.68
2020-07-31,4604.62
2020-07-30,4538.78
2020-07-29,4466.49
2020-07-28,4466.19
2020-07-25,4359.47
2020-07-24,4294.6
2020-07-23,4212.67
2020-07-22,4159.87
2020-07-21,4188.41
2020-07-18,4156.86
2020-07-17,4132.77
2020-07-16,4118.45
2020-07-15,4112.12
2020-07-14,4112.58
2020-07-11,4135.33
2020-07-10,4130.29
2020-07-09,4121.14
2020-07-08,4119.83
2020-07-07,4069.87
2020-07-04,4022.46
2020-07-03,4017.25
2020-07-02,4047.99
2020-07-01,4010.17
2020-06-30,3978.0
2020-06-27,3916.32
2020-06-26,3927.51
2020-06-25,3929.94
2020-06-24,3887.67
2020-06-23,3899.24
2020-06-20,3866.43
2020-06-19,3878.14
2020-06-18,3836.28
2020-06-17,3875.98
2020-06-16,3871.06
2020-06-12,3848.83
2020-06-11,3789.36
2020-06-10,3770.05
2020-06-09,3716.12
2020-06-06,3772.23
2020-06-05,3786.42
2020-06-04,3773.95
2020-06-03,3859.62
2020-06-02,3888.16
2020-05-30,3925.38
2020-05-29,3939.39
2020-05-28,3895.83
2020-05-27,3940.32
2020-05-26,3990.41
2020-05-23,4003.7
2020-05-22,3951.23
2020-05-21,4070.13
2020-05-20,4038.71
2020-05-19,4122.31
2020-05-16,4083.17
2020-05-15,4079.71
2020-05-14,4021.35
2020-05-13,4021.69
2020-05-09,4047.21
2020-05-08,4023.9
2020-05-07,4040.41
2020-05-01,4014.11
2020-04-30,4041.8
2020-04-29,4095.17
2020-04-28,4112.99
2020-04-25,4149.17
2020-04-24,4172.81
2020-04-23,4217.37
2020-04-22,4115.41
2020-04-21,4044.82
2020-04-18,4025.22
2020-04-17,4126.35
2020-04-16,4057.99
2020-04-15,4044.48
2020-04-14,3972.83
2020-04-11,3985.1
2020-04-10,3987.68
2020-04-09,4016.12
2020-04-08,4008.13
2020-04-07,4020.39
2020-03-28,4051.63
2020-03-27,4100.44
2020-03-26,4054.15
2020-03-25,4054.83
2020-03-24,3886.3
2020-03-21,3774.94
2020-03-20,3815.92
2020-03-19,3738.58
2020-03-18,3497.72
2020-03-17,3585.9
2020-03-14,3737.0
2020-03-13,3895.28
2020-03-12,3820.22
2020-03-11,3837.74
2020-03-07,3662.03
2020-03-06,3505.62
2020-03-05,3494.33
2020-03-04,3415.91
2020-03-03,3432.64
2020-02-29,3502.84
2020-02-28,3473.34
2020-02-27,3471.31
2020-02-26,3456.3
2020-02-22,3377.38
2020-02-21,3300.14
2020-02-20,3295.6
2020-02-19,3256.2
2020-02-18,3216.56
2020-02-15,3215.88
2020-02-14,3220.62
2020-02-13,3175.81
2020-02-12,3223.2
2020-02-11,3227.24
2020-02-08,3200.38
2020-02-07,3159.22
2020-02-06,3152.67
2020-02-05,3204.39
2020-02-04,3244.1
2020-02-01,3209.04
2020-01-31,3202.92
2020-01-30,3151.82
2020-01-29,3190.83
2020-01-28,3173.57
2020-01-25,3103.42
2020-01-24,3095.33
2020-01-23,3097.53
2020-01-22,3094.9
2020-01-21,3081.32
2020-01-18,3079.29
2020-01-17,3078.52
2020-01-16,3065.17
2020-01-15,3050.51
2020-01-14,3037.92
2020-01-11,3050.6
2020-01-10,3047.28
2020-01-01,3031.25
2019-12-31,3008.36
2019-12-28,3012.68
2019-12-27,2960.64
2019-12-26,2958.18
2019-12-25,2979.8
2019-12-24,2969.95
2019-12-21,2963.3
2019-12-20,2964.03
2019-12-19,2975.68
2019-12-18,2972.28
2019-12-17,2981.48
2019-12-14,2957.63
2019-12-13,2997.7
2019-12-12,3000.21
2019-12-11,2993.49
2019-12-10,2998.6
2019-12-07,3021.37
2019-12-06,3025.36
2019-12-05,3046.02
2019-12-04,3032.19
2019-12-03,3018.22
2019-11-30,3000.48
2019-11-29,3003.83
2019-11-28,3002.45
2019-11-27,3000.45
2019-11-26,2991.94
2019-11-23,3013.7
2019-11-22,3015.06
2019-11-21,3037.48
2019-11-20,3003.55
2019-11-19,2989.35
2019-11-16,3010.41
2019-11-15,3029.82
2019-11-14,3020.71
2019-11-13,2987.0
2019-11-12,3011.34
2019-11-09,3005.5
2019-11-08,3040.86
2019-11-07,3043.19
2019-11-06,3059.56
2019-11-02,3108.27
2019-11-01,3088.73
2019-10-31,3060.14
2019-10-30,3063.49
2019-10-29,3090.57
2019-10-26,3095.87
2019-10-25,3056.83
2019-10-24,3065.02
2019-10-23,3043.12
2019-10-22,3056.17
2019-10-19,3058.56
2019-10-18,3055.16
2019-10-17,3067.03
2019-10-16,3087.91
2019-10-15,3092.08
2019-10-12,3093.85
2019-10-11,3139.3
2019-10-10,3146.52
2019-10-09,3128.29
2019-10-08,3130.78
2019-10-05,3156.0
2019-10-04,3149.4
2019-10-03,3122.35
2019-10-02,3067.01
2019-10-01,3091.6
2019-09-28,3098.54
2019-09-27,3114.97
2019-09-26,3159.17
2019-09-25,3113.77
2019-09-24,3123.92
2019-09-21,3087.59
2019-09-20,3093.77
2019-09-19,3111.72
2019-09-18,3090.88
2019-09-17,3082.34
2019-09-14,3122.25
2019-09-13,3150.08
2019-09-12,3142.18
2019-09-11,3144.52
2019-09-10,3183.15
2019-09-07,3193.33
2019-09-06,3275.94
2019-09-05,3290.0
2019-09-04,3296.48
2019-09-03,3263.01
2019-08-31,3263.29
2019-08-30,3297.6
2019-08-29,3291.97
2019-08-28,3263.35
2019-08-27,3189.7
2019-08-24,3154.36
2019-08-23,3161.83
2019-08-22,3194.86
2019-08-21,3226.42
2019-08-20,3210.86
2019-08-17,3201.94
2019-08-16,3215.04
2019-08-15,3145.23
2019-08-14,3221.08
2019-08-13,3159.47
2019-08-10,3154.3
2019-08-09,3135.52
2019-08-08,3113.34
2019-08-07,3064.51
2019-08-06,3048.33
2019-08-03,2984.54
2019-08-02,2886.37
2019-08-01,2916.76
2019-07-31,2910.73
2019-07-30,2897.85
2019-07-27,2878.45
2019-07-26,2896.27
2019-07-25,2892.77
2019-07-24,2877.12
2019-07-23,2884.19
2019-07-20,2904.57
2019-07-19,2870.2
2019-07-18,2834.84
2019-07-17,2859.79
2019-07-16,2860.78
2019-07-13,2847.96
2019-07-12,2882.23
2019-07-11,2862.32
2019-07-10,2845.37
2019-07-09,2884.91
2019-07-06,2891.42
2019-07-05,2884.84
2019-07-04,2909.22
2019-07-03,2831.86
2019-07-02,2817.96
2019-06-29,2865.87
2019-06-28,2842.29
2019-06-27,2840.7
2019-06-26,2873.62
2019-06-25,2842.64
2019-06-22,2817.88
2019-06-21,2815.75
2019-06-20,2761.3
2019-06-19,2781.1
2019-06-18,2756.91
2019-06-15,2801.67
2019-06-14,2775.72
2019-06-12,2743.48
2019-06-11,2767.62
2019-06-08,2790.11
2019-06-07,2803.38
2019-06-06,2800.97
2019-06-05,2772.92
2019-06-04,2769.32
2019-06-01,2724.35
2019-05-31,2669.91
2019-05-30,2678.47
2019-05-29,2664.08
2019-05-28,2658.05
2019-05-25,2662.03
2019-05-24,2645.61
2019-05-23,2638.46
2019-05-22,2647.59
2019-05-21,2644.05
2019-05-18,2671.88
2019-05-17,2689.1
2019-05-16,2708.13
2019-05-15,2724.24
2019-05-14,2700.5
2019-05-09,2700.6
2019-05-08,2686.58
2019-05-07,2685.68
2019-05-01,2670.47
2019-04-30,2666.72
2019-04-27,2665.93
2019-04-26,2657.28
2019-04-25,2620.2
2019-04-24,2611.74
2019-04-23,2616.16
2019-04-20,2623.31
2019-04-19,2629.41
2019-04-18,2623.51
2019-04-17,2651.5
2019-04-16,2657.89
2019-04-13,2688.57
2019-04-12,2701.25
2019-04-11,2715.75
2019-04-10,2711.25
2019-04-09,2725.26
2019-04-06,2710.41
2019-04-05,2712.81
2019-04-04,2706.51
2019-04-03,2709.54
2019-04-02,2717.15
2019-03-30,2687.23
2019-03-29,2722.8
2019-03-28,2737.6
2019-03-27,2713.44
2019-03-26,2735.93
2019-03-23,2688.11
2019-03-22,2699.61
2019-03-21,2692.86
2019-03-20,2705.44
2019-03-19,2714.04
2019-03-16,2739.87
2019-03-15,2731.86
2019-03-14,2759.07
2019-03-13,2742.36
2019-03-12,2753.97
2019-03-08,2728.21
2019-03-07,2721.38
2019-03-06,2718.46
2019-03-05,2723.44
2019-03-02,2771.83
2019-03-01,2807.83
2019-02-28,2804.29
2019-02-27,2800.7
2019-02-26,2788.69
2019-02-23,2785.12
2019-02-22,2813.17
2019-02-21,2849.42
2019-02-20,2829.88
2019-02-19,2819.87
2019-02-16,2826.58
2019-02-15,2793.31
2019-02-14,2768.63
2019-02-13,2771.12
2019-02-12,2758.22
2019-02-09,2784.73
2019-02-08,2773.37
2019-02-07,2772.87
2019-02-06,2770.04
2019-02-05,2764.42
2019-02-02,2788.13
2019-02-01,2778.97
2019-01-31,2790.18
2019-01-30,2790.6
2019-01-29,2757.73
2019-01-26,2718.93
2019-01-25,2715.63
2019-01-24,2740.2
2019-01-23,2748.89
2019-01-22,2728.27
2019-01-19,2740.48
2019-01-18,2764.26
2019-01-17,2769.98
2019-01-16,2780.79
2019-01-15,2794.74
2019-01-12,2781.36
2019-01-11,2778.16
2019-01-10,2763.32
2018-12-30,2856.68
2018-12-29,2854.88
